sensor_id,location_type,timestamp,temperature_c,humidity_pct
SNS-001,Roadside,2025-01-01,25.599999999999998,61.93333333333334
SNS-001,Roadside,2025-01-06,28.0,60.1
SNS-001,Roadside,2025-01-11,27.566666666666666,59.4
SNS-001,Roadside,2025-01-16,27.1,61.2
SNS-001,Roadside,2025-01-21,29.5,57.9
SNS-001,Roadside,2025-01-26,28.6,52.7
SNS-001,Roadside,2025-01-31,28.05,61.25
SNS-001,Roadside,2025-02-05,28.5,55.05
SNS-001,Roadside,2025-02-10,28.35,54.65
SNS-001,Roadside,2025-02-15,29.299999999999997,50.8
SNS-001,Roadside,2025-02-20,27.95,51.55
SNS-001,Roadside,2025-02-25,29.15,49.1
SNS-001,Roadside,2025-03-02,29.833333333333332,46.300000000000004
SNS-001,Roadside,2025-03-07,28.299999999999997,54.25
SNS-001,Roadside,2025-03-12,29.8,56.9
SNS-001,Roadside,2025-03-17,31.833333333333332,53.53333333333333
SNS-001,Roadside,2025-03-22,27.566666666666666,52.6
SNS-001,Roadside,2025-03-27,28.4,40.5
SNS-001,Roadside,2025-04-01,29.3,54.5
SNS-001,Roadside,2025-04-06,,
SNS-001,Roadside,2025-04-11,28.2,49.2
SNS-001,Roadside,2025-04-16,30.633333333333336,46.76666666666667
SNS-001,Roadside,2025-04-21,27.366666666666664,55.666666666666664
SNS-001,Roadside,2025-04-26,29.475,56.475
SNS-001,Roadside,2025-05-01,,
SNS-001,Roadside,2025-05-06,29.65,57.45
SNS-001,Roadside,2025-05-11,28.475,51.3
SNS-001,Roadside,2025-05-16,26.799999999999997,53.900000000000006
SNS-001,Roadside,2025-05-21,26.733333333333334,56.666666666666664
SNS-001,Roadside,2025-05-26,25.68,61.94
SNS-001,Roadside,2025-05-31,25.98,57.08
SNS-001,Roadside,2025-06-05,24.333333333333332,62.96666666666667
SNS-001,Roadside,2025-06-10,23.675,57.125
SNS-001,Roadside,2025-06-15,25.7,64.3
SNS-001,Roadside,2025-06-20,22.616666666666664,61.050000000000004
SNS-001,Roadside,2025-06-25,23.866666666666664,61.70000000000001
SNS-001,Roadside,2025-06-30,22.3,64.8
SNS-001,Roadside,2025-07-05,22.333333333333332,64.3
SNS-001,Roadside,2025-07-10,20.35,67.075
SNS-001,Roadside,2025-07-15,22.25,66.53333333333333
SNS-001,Roadside,2025-07-20,26.0,63.8
SNS-001,Roadside,2025-07-25,19.8,69.8
SNS-001,Roadside,2025-07-30,20.866666666666667,72.43333333333334
SNS-001,Roadside,2025-08-04,20.85,66.0
SNS-001,Roadside,2025-08-09,20.025,68.75
SNS-001,Roadside,2025-08-14,19.15,69.175
SNS-001,Roadside,2025-08-19,19.2,65.5
SNS-001,Roadside,2025-08-24,20.866666666666667,67.23333333333333
SNS-001,Roadside,2025-08-29,18.599999999999998,70.26666666666667
SNS-001,Roadside,2025-09-03,19.966666666666665,70.10000000000001
SNS-001,Roadside,2025-09-08,20.65,66.94999999999999
SNS-001,Roadside,2025-09-13,20.25,69.225
SNS-001,Roadside,2025-09-18,21.175,67.75
SNS-001,Roadside,2025-09-23,19.5,60.6
SNS-001,Roadside,2025-09-28,22.275,69.2
SNS-001,Roadside,2025-10-03,20.119999999999997,63.9
SNS-001,Roadside,2025-10-08,21.666666666666668,63.96666666666667
SNS-001,Roadside,2025-10-13,22.85,64.8
SNS-001,Roadside,2025-10-18,21.866666666666664,65.39999999999999
SNS-001,Roadside,2025-10-23,20.9,62.55
SNS-001,Roadside,2025-10-28,23.45,59.05
SNS-001,Roadside,2025-11-02,26.5,60.35
SNS-001,Roadside,2025-11-07,24.2,60.52
SNS-001,Roadside,2025-11-12,24.8,58.86666666666667
SNS-001,Roadside,2025-11-17,28.4,61.4
SNS-001,Roadside,2025-11-22,27.65,53.4
SNS-001,Roadside,2025-11-27,27.425,57.125
SNS-001,Roadside,2025-12-02,26.833333333333332,57.300000000000004
SNS-001,Roadside,2025-12-07,27.933333333333334,57.199999999999996
SNS-001,Roadside,2025-12-12,26.166666666666668,55.23333333333333
SNS-001,Roadside,2025-12-17,28.825000000000003,57.725
SNS-001,Roadside,2025-12-22,28.2,49.6
SNS-001,Roadside,2025-12-27,29.8,48.5
SNS-001,Roadside,2026-01-01,30.0,48.857142857142854
SNS-001,Roadside,2026-01-06,31.3,45.6
SNS-001,Roadside,2026-01-11,29.799999999999997,50.0
SNS-001,Roadside,2026-01-16,30.675,50.4
SNS-001,Roadside,2026-01-21,30.8,47.5
SNS-001,Roadside,2026-01-26,28.733333333333334,54.166666666666664
SNS-001,Roadside,2026-01-31,,
