,timestamp,sensor_id,location_type,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,traffic_density_score,co2_ppm,no2_ppb,pm2.5,pm10,aqi_category
0,2025-01-01 00:00:00,SNS-002,Industrial,25.3,54.1,2.3,1,0.02,492.8,19.2,18.3,27.9,Moderate
1,2025-01-01 01:00:00,SNS-036,Industrial,25.6,64.3,4.0,0,0.1,473.5,20.5,37.6,59.3,Unhealthy for Sensitive
2,2025-01-01 02:00:00,SNS-041,Industrial,28.0,62.1,0.6,0,0.02,502.3,7.8,41.7,56.4,Unhealthy for Sensitive
3,2025-01-01 03:00:00,SNS-010,Roadside,26.6,55.0,3.4,0,0.19,462.0,19.3,34.4,48.7,Moderate
4,2025-01-01 04:00:00,SNS-041,Industrial,26.2,53.8,4.5,0,0.0,476.5,10.3,36.5,48.0,Unhealthy for Sensitive
5,2025-01-01 05:00:00,SNS-019,Industrial,30.8,57.1,10.8,0,0.47,493.0,30.9,30.1,46.6,Moderate
6,2025-01-01 06:00:00,SNS-005,Industrial,26.4,64.7,1.6,0,0.32,522.2,17.7,45.3,71.3,Unhealthy for Sensitive
7,2025-01-01 07:00:00,SNS-006,Industrial,26.8,66.8,1.3,0,0.87,593.4,52.1,63.3,87.7,Unhealthy
8,2025-01-01 08:00:00,SNS-002,Industrial,23.2,68.7,2.7,0,0.79,569.7,38.3,60.3,84.9,Unhealthy
9,2025-01-01 09:00:00,SNS-024,Park,22.4,57.1,4.1,0,0.95,479.3,57.9,25.4,31.4,Moderate
10,2025-01-01 10:00:00,SNS-036,Industrial,25.2,57.9,2.1,0,0.49,538.8,25.8,51.3,72.4,Unhealthy for Sensitive
11,2025-01-01 11:00:00,SNS-050,Industrial,23.5,55.7,3.2,0,0.33,516.2,19.3,41.3,53.7,Unhealthy for Sensitive
12,2025-01-01 12:00:00,SNS-002,Industrial,25.0,59.4,0.6,5,0.44,538.0,27.1,32.9,44.2,Moderate
13,2025-01-01 13:00:00,SNS-049,Industrial,22.9,54.6,5.5,0,0.42,519.0,24.7,48.0,71.0,Unhealthy for Sensitive
14,2025-01-01 14:00:00,SNS-030,Industrial,24.4,53.4,6.9,1,0.59,541.5,34.7,22.6,30.1,Moderate
15,2025-01-01 15:00:00,SNS-039,Park,21.7,54.2,0.9,0,0.57,441.8,33.3,20.2,34.6,Moderate
16,2025-01-01 16:00:00,SNS-044,Residential,24.7,65.0,3.2,0,0.98,485.1,44.3,38.5,55.8,Unhealthy for Sensitive
17,2025-01-01 17:00:00,SNS-024,Park,24.8,65.1,2.1,0,0.82,470.7,42.0,18.9,35.4,Moderate
18,2025-01-01 18:00:00,SNS-003,Park,28.2,54.5,8.0,0,0.86,442.1,54.8,15.6,28.3,Moderate
19,2025-01-01 19:00:00,SNS-001,Roadside,26.2,62.1,4.1,0,0.78,504.3,45.0,52.9,82.2,Unhealthy for Sensitive
20,2025-01-01 20:00:00,SNS-013,Roadside,27.7,61.5,1.0,0,0.58,509.2,30.6,49.0,73.3,Unhealthy for Sensitive
21,2025-01-01 21:00:00,SNS-041,Industrial,24.3,73.7,2.3,0,0.36,526.4,21.2,36.5,50.6,Unhealthy for Sensitive
22,2025-01-01 22:00:00,SNS-009,Park,27.7,58.6,4.1,0,0.59,431.4,38.4,22.7,37.1,Moderate
23,2025-01-01 23:00:00,SNS-021,Industrial,26.9,56.1,11.2,0,0.0,443.7,5.9,12.7,15.5,Moderate
24,2025-01-02 00:00:00,SNS-040,Residential,22.4,60.0,1.6,0,0.09,389.8,12.2,15.8,27.2,Moderate
25,2025-01-02 01:00:00,SNS-016,Roadside,22.9,67.5,0.7,0,0.18,470.9,17.9,38.3,53.0,Unhealthy for Sensitive
26,2025-01-02 02:00:00,SNS-048,Roadside,24.5,61.6,2.3,0,0.16,437.3,15.9,38.6,57.6,Unhealthy for Sensitive
27,2025-01-02 03:00:00,SNS-028,Residential,24.6,62.7,1.5,0,0.0,391.4,15.2,12.0,15.3,Moderate
28,2025-01-02 04:00:00,SNS-038,Roadside,27.9,60.6,3.6,0,0.11,440.1,16.4,35.7,57.6,Unhealthy for Sensitive
29,2025-01-02 05:00:00,SNS-047,Park,25.3,57.6,1.9,0,0.53,446.3,31.3,9.0,14.5,Good
30,2025-01-02 06:00:00,SNS-037,Residential,24.9,54.5,2.0,0,0.56,450.0,27.5,29.7,42.4,Moderate
